distance_cm,velocity_m_s,reynolds_number,dynamic_pressure_pa,qS_N,lift_min_N,lift_max_N,lift_min_gf,lift_max_gf,drag_min_N,drag_max_N,drag_min_gf,drag_max_gf
10,7.8,33047.36842105263,34.983,0.48976200000000003,0.09795240000000001,0.39180960000000004,9.988365038009922,39.95346015203969,0.024488100000000002,0.12244050000000001,2.4970912595024806,12.485456297512403
20,5.7,24150.0,18.68175,0.26154450000000007,0.05230890000000002,0.20923560000000008,5.334023341304117,21.336093365216467,0.013077225000000005,0.06538612500000002,1.3335058353260292,6.667529176630145
30,4.0,16947.36842105263,9.2,0.1288,0.02576,0.10304,2.6267889646311433,10.507155858524573,0.00644,0.0322,0.6566972411577858,3.283486205788929
40,3.8,16099.999999999996,8.302999999999999,0.116242,0.023248400000000002,0.09299360000000001,2.370677040579607,9.482708162318428,0.005812100000000001,0.0290605,0.5926692601449017,2.9633463007245084
